athee (athiban (ATHEE) from directory H:\a1\SparkGamers\TheWar_source\TW_source\TW_source\TheWar.exe) from IP 157.50.75.102, computer ID ObbHjcVlrmNM4LSfuTLKGGBROuQ
samkarthik (s.veerappan (DESKTOP-QFL1REN) from directory E:\TheWar\TheWar\TheWar.exe) from IP 157.49.227.127, computer ID Qg0yEu82hJRyJ/p3gUGIf9VIUWw
mahi2000 (mahipal singh rathor (LAPTOP-413LVIOH) from directory C:\Users\mahipal singh rathor\Downloads\TheWar\TheWar\TheWar.exe) from IP 157.32.208.255, computer ID GGqvmxN5TWq7e+kJhU2GLfns9Z4
anmolpreetsingh (Admin (DESKTOP-J91PLSH) from directory D:\softtwares\games\TheWar\TheWar.exe) from IP 157.39.146.15, computer ID KOqcbAEKQ+QzZGkFlNyVGa69f1s
radikesh (Kesav (RATHA-KESHAV) from directory H:\Audio Games\The War\TheWar\TheWar\TheWar.exe) from IP 157.49.206.6, computer ID 8YVEO31rgufSroKxZiUf2j23HEg
MoonShadow (Myat Ko Ko (MYATKOKO) from directory D:\Game series\TheWar\TheWar\TheWar.exe) from IP 65.18.121.83, computer ID ELm0z7zVxugyfTrEjMS31vNW5ic
joker (mohamed ijaz (IJAZ) from directory E:\the war\TheWar\TheWar\TheWar.exe) from IP 157.49.209.163, computer ID 6Oq/2sZBCjoT0OZS+ax9H0a0Tqo
SKGamer (H.P (SK-PC) from directory E:\games\TheWar\TheWar\TheWar.exe) from IP 196.194.214.181, computer ID 8WLNvNY1cBHGA7jvKjkp5HSH4ar
superboy (Zameer Ulhassan (DESKTOP-LT2E26N) from directory D:\TheWar\TheWar.exe) from IP 119.160.103.140, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
scarlet (manis (DESKTOP-0RP5O00) from directory C:\Users\manis\Downloads\TheWar\TheWar\TheWar.exe) from IP 103.79.168.160, computer ID o8F9PnHcPt+z3QBRrSxyiHvI8hY
superboy (Zameer Ulhassan (DESKTOP-LT2E26N) from directory D:\TheWar\TheWar.exe) from IP 119.160.96.9, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
arman499 (muham (DESKTOP-J0JE4PK) from directory C:\Users\muham\Dropbox\My PC (DESKTOP-J0JE4PK)\Desktop\TheWar\TheWar\TheWar.exe) from IP 39.45.54.194, computer ID CaoD+u62GUqcJ5ZV/xbJY32Jr3o
king (hp (ABHI) from directory F:\TheWar\TheWar.exe) from IP 157.36.117.166, computer ID IzPZLle0yqeoDswNcd00ltZho4C
arman499 (muham (DESKTOP-J0JE4PK) from directory C:\Users\muham\Dropbox\My PC (DESKTOP-J0JE4PK)\Desktop\TheWar\TheWar\TheWar.exe) from IP 119.160.100.196, computer ID CaoD+u62GUqcJ5ZV/xbJY32Jr3o
superboy (Zameer Ulhassan (DESKTOP-LT2E26N) from directory D:\TheWar\TheWar.exe) from IP 119.160.101.224, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
radikesh (Kesav (RATHA-KESHAV) from directory H:\Audio Games\The War\TheWar\TheWar\TheWar.exe) from IP 157.46.64.42, computer ID 8YVEO31rgufSroKxZiUf2j23HEg
lovepreet (hp (DESKTOP-55ADKC2) from directory C:\Users\hp\Desktop\bani\TheWar\TheWar.exe) from IP 103.41.38.49, computer ID aYV3cRHqAivjmRKSm9uSS0V+LH4
reddy (HP (LAPTOP-BGI1746H) from directory G:\TheWar\TheWar.exe) from IP 157.49.164.143, computer ID gt1OI6h2cXg+9K77yC0AQYokze3
tiger (mister zaib (DESKTOP-62DOR4L) from directory D:\games\TheWar\TheWar\TheWar.exe) from IP 27.96.95.247, computer ID fp3fnmM4mcEOfmq1lb1BYXrZYTg
AnujSharma (ANUJ SHARMA JITWANTA (DESKTOP-523FC6S) from directory D:\Games\TheWar\TheWar.exe) from IP 169.149.202.44, computer ID SJ5pKZwgtUhERVYbp5f2xBsXOqU
king (hp (ABHI) from directory F:\TheWar\TheWar.exe) from IP 157.36.115.207, computer ID IzPZLle0yqeoDswNcd00ltZho4C
hassanali (NIMRA SAJID (DESKTOP-BOP3C3U) from directory C:\Users\User\Dropbox (Old)\My PC (DESKTOP-BOP3C3U)\Downloads\TheWar\TheWar.exe) from IP 182.177.167.224, computer ID 8om32hpbsKEp2bL1QGepBiXQIUA
stinkertje (Jesse (DESKTOP-JESSE) from directory D:\games\TheWar\TheWar\TheWar.exe) from IP 46.166.142.219, computer ID cHtGSp3uI2o7xr7i/tXXfpLqoEv
joker (mohamed ijaz (IJAZ) from directory E:\the war\TheWar\TheWar\TheWar.exe) from IP 157.46.67.28, computer ID 6Oq/2sZBCjoT0OZS+ax9H0a0Tqo
shahrukh (user (DESKTOP-CKB9DF0) from directory C:\Users\user\AppData\Local\Temp\Rar$EXa0.638\TheWar\TheWar.exe) from IP 157.51.187.17, computer ID Qj1NZEyUmuhvCrVamIKexejKJwr
raza-al-pakistani (tawakkal (DESKTOP-6G7QQ8L) from directory E:\TheWar\TheWar.exe) from IP 111.88.109.68, computer ID UDFoF0Rk3wYvPheZHQui3iWdL7/
freezer (Tenzin Jamtsho (DESKTOP-O2DQCQV) from directory C:\Users\Tenzin Jamtsho\Saved Games\TheWar\TheWar.exe) from IP 119.2.118.109, computer ID 03cW+ZVatp+e2hSRNGtdOloDExB
shahrukh (user (DESKTOP-CKB9DF0) from directory C:\Users\user\AppData\Local\Temp\Rar$EXa0.132\TheWar\TheWar.exe) from IP 157.51.187.17, computer ID Qj1NZEyUmuhvCrVamIKexejKJwr
superboy (Zameer Ulhassan (DESKTOP-LT2E26N) from directory D:\TheWar\TheWar.exe) from IP 119.160.99.95, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
superboy (Zameer Ulhassan (DESKTOP-LT2E26N) from directory D:\TheWar\TheWar.exe) from IP 119.160.103.187, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
radikesh (Kesav (RATHA-KESHAV) from directory H:\Audio Games\The War\TheWar\TheWar\TheWar.exe) from IP 157.49.217.115, computer ID 8YVEO31rgufSroKxZiUf2j23HEg
samkarthik (s.veerappan (DESKTOP-QFL1REN) from directory E:\TheWar\TheWar\TheWar.exe) from IP 157.51.146.43, computer ID Qg0yEu82hJRyJ/p3gUGIf9VIUWw
ranjith (ssc (SS) from directory C:\Users\ssc\Downloads\TheWar\TheWar\TheWar.exe) from IP 157.49.218.162, computer ID kZ8NJSjYeFlq6gj0/OlXlwDeIDH
athee (athiban (ATHEE) from directory H:\a1\SparkGamers\TheWar_source\TW_source\TW_source\TheWar.bgt) from IP 157.50.42.55, computer ID ObbHjcVlrmNM4LSfuTLKGGBROuQ
krish (R.K (DESKTOP-MGA8R0R) from directory E:\New folder (3)\TheWar\TheWar\TheWar.exe) from IP 157.36.99.143, computer ID P9WgJu/UEpu7d3RusBQsKLfYkyU
samkarthik (s.veerappan (DESKTOP-QFL1REN) from directory E:\TheWar\TheWar\TheWar.exe) from IP 157.51.142.233, computer ID Qg0yEu82hJRyJ/p3gUGIf9VIUWw
shahrukh (user (DESKTOP-CKB9DF0) from directory F:\TheWar\TheWar\TheWar.exe) from IP 157.51.187.17, computer ID Qj1NZEyUmuhvCrVamIKexejKJwr
king (hp (ABHI) from directory F:\TheWar\TheWar.exe) from IP 157.36.110.42, computer ID IzPZLle0yqeoDswNcd00ltZho4C
superkaur (hp (DESKTOP-55ADKC2) from directory C:\Users\hp\Desktop\bani\TheWar\TheWar.exe) from IP 103.41.38.49, computer ID aYV3cRHqAivjmRKSm9uSS0V+LH4
krish (R.K (DESKTOP-MGA8R0R) from directory E:\New folder (3)\TheWar\TheWar\TheWar.exe) from IP 157.36.96.57, computer ID P9WgJu/UEpu7d3RusBQsKLfYkyU
gurindersingh (LENOVO (DESKTOP-137TP43) from directory C:\Users\LENOVO\OneDrive\Desktop\games\TheWar\TheWar.exe) from IP 223.185.143.139, computer ID F8UAALx58uaqiG7CsXQyLBPsenE
lovepreet (rj (DESKTOP-J24LO1Q) from directory C:\Users\rj\Desktop\softweres\TheWar\TheWar.exe) from IP 157.39.56.242, computer ID wq9E98aFWc4xRO7QMoMWZOdmHah
reddy (HP (LAPTOP-BGI1746H) from directory G:\TheWar\TheWar.exe) from IP 157.49.181.19, computer ID gt1OI6h2cXg+9K77yC0AQYokze3
KingKiller (HP (UMERSIDIQ) from directory H:\softwares\games\TheWar\TheWar.exe) from IP 171.76.214.61, computer ID ZuSKg5H6YGr25MCoaFGjj4m2YAM
tanishq (HP (HP) from directory C:\Users\HP\Downloads\Compressed\TheWar\TheWar\TheWar.exe) from IP 1.38.52.138, computer ID MXxR5UbTX6Mu+nmf5DxFVF0WxNW
sakthikamaleshwar (SAKTHI KAMALESH (DESKTOP-G20HFFB) from directory E:\TheWar\TheWar.exe) from IP 106.198.94.169, computer ID ObbHjcVlrmNM4LSfuTLKGGBROuQ
AnujSharma (ANUJ SHARMA JITWANTA (DESKTOP-523FC6S) from directory D:\Games\TheWar\TheWar.exe) from IP 169.149.244.181, computer ID SJ5pKZwgtUhERVYbp5f2xBsXOqU
tiger (mister zaib (DESKTOP-62DOR4L) from directory D:\games\TheWar\TheWar\TheWar.exe) from IP 182.189.80.149, computer ID fp3fnmM4mcEOfmq1lb1BYXrZYTg
anmolpreetsingh (Admin (DESKTOP-J91PLSH) from directory D:\softtwares\games\TheWar\TheWar.exe) from IP 157.39.70.35, computer ID KOqcbAEKQ+QzZGkFlNyVGa69f1s
Krishna (acer (ACER) from directory D:\softwares\TheWar\TheWar\TheWar.exe) from IP 157.49.196.87, computer ID kYniVLKKxKTo242WvYfeJfpg96f
tiger (mister zaib (DESKTOP-62DOR4L) from directory D:\games\TheWar\TheWar\TheWar.exe) from IP 182.189.197.27, computer ID fp3fnmM4mcEOfmq1lb1BYXrZYTg
athee (athiban (ATHEE) from directory H:\Games\TheWar\TheWar\TheWar.exe) from IP 157.50.42.55, computer ID ObbHjcVlrmNM4LSfuTLKGGBROuQ
anmolpreetsingh (Admin (DESKTOP-J91PLSH) from directory D:\softtwares\games\TheWar\TheWar.exe) from IP 157.39.241.170, computer ID KOqcbAEKQ+QzZGkFlNyVGa69f1s
sakthikamaleshwar (SAKTHI KAMALESH (DESKTOP-G20HFFB) from directory E:\TheWar\TheWar.exe) from IP 106.198.84.46, computer ID ObbHjcVlrmNM4LSfuTLKGGBROuQ
radikesh (Kesav (RATHA-KESHAV) from directory H:\Audio Games\The War\TheWar\TheWar\TheWar.exe) from IP 157.49.192.129, computer ID 8YVEO31rgufSroKxZiUf2j23HEg
devikiran (user (DESKTOP-4DFNV88) from directory F:\games\accessible-games\TheWar\TheWar.exe) from IP 49.15.199.73, computer ID ODPqw57iuNB87N10NJuuVDuJzuI
moinkhan (Lenovo (LAPTOP-QBF39BLU) from directory H:\Download\games\TheWar\TheWar\TheWar.exe) from IP 27.56.214.122, computer ID cpPBB0DN6hg7Q3XpJc264T12zPo
AnujSharma (ANUJ SHARMA JITWANTA (DESKTOP-523FC6S) from directory C:\Users\ANUJ SHARMA JITWANTA\Desktop\TheWar\TheWar.exe) from IP 169.149.244.181, computer ID SJ5pKZwgtUhERVYbp5f2xBsXOqU
joker (mohamed ijaz (IJAZ) from directory E:\the war\TheWar\TheWar\TheWar.exe) from IP 157.51.187.121, computer ID 6Oq/2sZBCjoT0OZS+ax9H0a0Tqo
elijah (Alexander Elijah (DESKTOP-Q9HLKB2) from directory D:\audio games\TheWar\TheWar\TheWar.exe) from IP 37.111.2.201, computer ID /EB6OnrpTqwoHIoji3nVr56VFYI
superboy (Zameer Ulhassan (DESKTOP-LT2E26N) from directory D:\TheWar\TheWar.exe) from IP 119.160.101.217, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
joker (mohamed ijaz (IJAZ) from directory E:\the war\TheWar\TheWar\TheWar.exe) from IP 157.51.156.178, computer ID 6Oq/2sZBCjoT0OZS+ax9H0a0Tqo
reddy (HP (LAPTOP-BGI1746H) from directory G:\TheWar\TheWar.exe) from IP 157.49.180.219, computer ID gt1OI6h2cXg+9K77yC0AQYokze3
superboy (Zameer Ulhassan (DESKTOP-LT2E26N) from directory D:\TheWar\TheWar.exe) from IP 119.160.97.135, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
hassanali (NIMRA SAJID (DESKTOP-BOP3C3U) from directory C:\games\TheWar\TheWar.exe) from IP 182.177.167.224, computer ID 8om32hpbsKEp2bL1QGepBiXQIUA
samkarthik (s.veerappan (DESKTOP-QFL1REN) from directory E:\TheWar\TheWar\TheWar.exe) from IP 157.51.131.104, computer ID Qg0yEu82hJRyJ/p3gUGIf9VIUWw
arman499 (muham (DESKTOP-J0JE4PK) from directory C:\Users\muham\Dropbox\My PC (DESKTOP-J0JE4PK)\Desktop\TheWar\TheWar\TheWar.exe) from IP 141.255.167.138, computer ID CaoD+u62GUqcJ5ZV/xbJY32Jr3o
Sanjeev (acer (DESKTOP-P48P5F6) from directory D:\games\TheWar\TheWar\TheWar.exe) from IP 169.149.198.35, computer ID VgStU5g3GpmRiZ9paiBiPYGZiPc
mahi2000 (mahipal singh rathor (LAPTOP-413LVIOH) from directory D:\softwares\games\TheWar\TheWar\TheWar.exe) from IP 157.32.212.138, computer ID GGqvmxN5TWq7e+kJhU2GLfns9Z4
superboy (Zameer Ulhassan (DESKTOP-LT2E26N) from directory D:\TheWar\TheWar.exe) from IP 119.160.97.60, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
anmolpreetsingh (Admin (DESKTOP-J91PLSH) from directory D:\softtwares\games\TheWar\TheWar.exe) from IP 157.39.67.189, computer ID KOqcbAEKQ+QzZGkFlNyVGa69f1s
tiger (mister zaib (DESKTOP-62DOR4L) from directory D:\games\TheWar\TheWar\TheWar.exe) from IP 182.190.205.2, computer ID fp3fnmM4mcEOfmq1lb1BYXrZYTg
test25 (Bukhari (DESKTOP-FKEQ1MP) from directory C:\Users\Bukhari\Downloads\TheWar\TheWar.exe) from IP 103.217.178.126, computer ID C4qXaWHmAo5Bvuv/KC9u1pFtnMc
Stainer (Moo Pa (KOMOOPA) from directory C:\Users\Moo Pa\Desktop\game\TheWar\TheWar.exe) from IP 136.228.172.155, computer ID C0/rnYMa6zT39dx+oy3F5L6Bvew
KashifAwan (kashif-awan (DESKTOP-0456J8G) from directory D:\folder kashif awan\Softwares\computer softwares\games\TheWar\TheWar\TheWar.exe) from IP 111.119.187.6, computer ID MUr7g0CT2291SfQoIE38bwfHXfZ
Krishna (acer (ACER) from directory D:\softwares\TheWar\TheWar\TheWar.exe) from IP 157.46.109.227, computer ID kYniVLKKxKTo242WvYfeJfpg96f
SuperWorior (MALIK FARHANKHALIL (DESKTOP-AC3HH2M) from directory D:\TheWar\TheWar\TheWar.exe) from IP 111.119.187.56, computer ID DlMUJCQKFE+QNWlLzdb1EIdTolI
BabyMask (EddieC (DESKTOP-CCS5O0N) from directory C:\Users\EddieC\Downloads\TheWar\TheWar.exe) from IP 24.88.165.42, computer ID ZzflfzXYkaBGOA1EpHRnDSTmKl8
AnujSharma (ANUJ SHARMA JITWANTA (DESKTOP-523FC6S) from directory D:\Games\TheWar\TheWar.exe) from IP 169.149.244.241, computer ID SJ5pKZwgtUhERVYbp5f2xBsXOqU
Sylvia (Lookpla (LAPTOP-I35FA285) from directory C:\Users\Lookpla\Downloads\TheWar\TheWar\TheWar.exe) from IP 124.122.197.71, computer ID kNG+1YPILlsMMm1RX0d2wp/BE1I
joker (mohamed ijaz (IJAZ) from directory E:\the war\TheWar\TheWar\TheWar.exe) from IP 157.51.134.208, computer ID 6Oq/2sZBCjoT0OZS+ax9H0a0Tqo
raza-al-pakistani (tawakkal (DESKTOP-6G7QQ8L) from directory E:\TheWar\TheWar.exe) from IP 111.88.109.219, computer ID UDFoF0Rk3wYvPheZHQui3iWdL7/
arman499 (muham (DESKTOP-J0JE4PK) from directory C:\Users\muham\Dropbox\My PC (DESKTOP-J0JE4PK)\Desktop\TheWar\TheWar\TheWar.exe) from IP 39.45.187.242, computer ID CaoD+u62GUqcJ5ZV/xbJY32Jr3o
radikesh (Kesav (RATHA-KESHAV) from directory H:\Audio Games\The War\TheWar\TheWar\TheWar.exe) from IP 157.46.120.65, computer ID 8YVEO31rgufSroKxZiUf2j23HEg
shahrukh (user (DESKTOP-CKB9DF0) from directory F:\TheWar\TheWar\TheWar.exe) from IP 157.46.84.19, computer ID Qj1NZEyUmuhvCrVamIKexejKJwr
samkarthik (s.veerappan (DESKTOP-QFL1REN) from directory E:\TheWar\TheWar\TheWar.exe) from IP 157.51.129.21, computer ID Qg0yEu82hJRyJ/p3gUGIf9VIUWw
tiger (mister zaib (DESKTOP-62DOR4L) from directory D:\games\TheWar\TheWar\TheWar.exe) from IP 182.189.119.23, computer ID fp3fnmM4mcEOfmq1lb1BYXrZYTg
ranjith (ssc (SS) from directory C:\Users\ssc\Downloads\TheWar\TheWar\TheWar.exe) from IP 157.49.221.3, computer ID kZ8NJSjYeFlq6gj0/OlXlwDeIDH
athee (athiban (ATHEE) from directory H:\Games\TheWar\TheWar\TheWar.exe) from IP 157.51.187.122, computer ID ObbHjcVlrmNM4LSfuTLKGGBROuQ
sakthikamaleshwar (SAKTHI KAMALESH (DESKTOP-G20HFFB) from directory E:\TheWar\TheWar.exe) from IP 123.136.181.126, computer ID ObbHjcVlrmNM4LSfuTLKGGBROuQ
sakthikamaleshwar (SAKTHI KAMALESH (DESKTOP-G20HFFB) from directory E:\TheWar\TheWar.exe) from IP 106.198.84.154, computer ID ObbHjcVlrmNM4LSfuTLKGGBROuQ
krish (R.K (DESKTOP-MGA8R0R) from directory E:\New folder (3)\TheWar\TheWar\TheWar.exe) from IP 157.36.26.230, computer ID P9WgJu/UEpu7d3RusBQsKLfYkyU
KoAyeChan (Ko Aye Chan (DESKTOP-6RN3IS3) from directory C:\Users\Ko Aye Chan\Downloads\TheWar\TheWar.exe) from IP 65.18.124.157, computer ID wie5swY1Itt7cL2qJb79roSDk0Y
samkarthik (s.veerappan (DESKTOP-QFL1REN) from directory E:\TheWar\TheWar\TheWar.exe) from IP 157.51.147.63, computer ID Qg0yEu82hJRyJ/p3gUGIf9VIUWw
AnujSharma (ANUJ SHARMA JITWANTA (DESKTOP-523FC6S) from directory D:\Games\TheWar\TheWar.exe) from IP 169.149.255.249, computer ID SJ5pKZwgtUhERVYbp5f2xBsXOqU
radikesh (s.veerappan (DESKTOP-QFL1REN) from directory E:\TheWar\TheWar\TheWar.exe) from IP 157.51.147.63, computer ID Qg0yEu82hJRyJ/p3gUGIf9VIUWw
samkarthik (Kesav (RATHA-KESHAV) from directory H:\Audio Games\The War\TheWar\TheWar\TheWar.exe) from IP 157.46.120.65, computer ID 8YVEO31rgufSroKxZiUf2j23HEg
MoonShadow (Myat Ko Ko (MYATKOKO) from directory D:\Game series\TheWar\TheWar\TheWar.exe) from IP 65.18.121.170, computer ID ELm0z7zVxugyfTrEjMS31vNW5ic
mahi2000 (mahipal singh rathor (LAPTOP-413LVIOH) from directory D:\softwares\games\TheWar\TheWar\TheWar.exe) from IP 157.32.196.199, computer ID GGqvmxN5TWq7e+kJhU2GLfns9Z4
superboy (Zameer Ulhassan (DESKTOP-LT2E26N) from directory D:\TheWar\TheWar.exe) from IP 119.160.103.203, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
superboy (Zameer Ulhassan (DESKTOP-LT2E26N) from directory D:\TheWar\TheWar.exe) from IP 119.160.97.50, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
anmolpreetsingh (Admin (DESKTOP-J91PLSH) from directory D:\softtwares\games\TheWar\TheWar.exe) from IP 157.39.153.142, computer ID KOqcbAEKQ+QzZGkFlNyVGa69f1s
superboy (Zameer Ulhassan (DESKTOP-LT2E26N) from directory D:\TheWar\TheWar.exe) from IP 152.89.162.194, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
Krishna (acer (ACER) from directory D:\softwares\TheWar\TheWar\TheWar.exe) from IP 157.51.33.198, computer ID kYniVLKKxKTo242WvYfeJfpg96f
athee (athiban (ATHEE) from directory H:\Games\TheWar\TheWar\TheWar.exe) from IP 157.51.190.104, computer ID ObbHjcVlrmNM4LSfuTLKGGBROuQ
mahi2000 (mahipal singh rathor (LAPTOP-413LVIOH) from directory D:\softwares\games\TheWar\TheWar\TheWar.exe) from IP 157.32.209.67, computer ID GGqvmxN5TWq7e+kJhU2GLfns9Z4
lovepreet (rj (DESKTOP-J24LO1Q) from directory C:\Users\rj\Desktop\softweres\TheWar\TheWar.exe) from IP 157.39.50.80, computer ID wq9E98aFWc4xRO7QMoMWZOdmHah
lovepreet (rj (DESKTOP-J24LO1Q) from directory C:\Users\rj\Desktop\softweres\TheWar\TheWar.exe) from IP 157.39.18.176, computer ID wq9E98aFWc4xRO7QMoMWZOdmHah
john_carr (pote (POTE) from directory D:\TheWar\TheWar.exe) from IP 183.87.63.169, computer ID 18Zsyt1hKcoyuJ/X/G8ZUtTm0Bk
Sylvia (Lookpla (LAPTOP-I35FA285) from directory C:\Users\Lookpla\Downloads\TheWar\TheWar\TheWar.exe) from IP 124.122.198.101, computer ID kNG+1YPILlsMMm1RX0d2wp/BE1I
athee (athiban (ATHEE) from directory H:\a1\SparkGamers\TheWar_source\TW_source\TW_source\TheWar.bgt) from IP 157.51.190.104, computer ID ObbHjcVlrmNM4LSfuTLKGGBROuQ
SuperWorior (MALIK FARHANKHALIL (DESKTOP-AC3HH2M) from directory D:\TheWar\TheWar\TheWar.exe) from IP 111.119.187.54, computer ID DlMUJCQKFE+QNWlLzdb1EIdTolI
superboy (zamee (DESKTOP-AOV6GQD) from directory D:\TheWar\TheWar.exe) from IP 119.160.96.19, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
superboy (zamee (DESKTOP-AOV6GQD) from directory D:\TheWar\TheWar.exe) from IP 119.160.100.219, computer ID x1JWqAT0L3n17XqyOwXxBC6ooRA
shahrukh (user (DESKTOP-CKB9DF0) from directory F:\TheWar\TheWar\TheWar.exe) from IP 157.46.91.104, computer ID Qj1NZEyUmuhvCrVamIKexejKJwr
joker (mohamed ijaz (IJAZ) from directory E:\the war\TheWar\TheWar\TheWar.exe) from IP 157.51.143.131, computer ID 6Oq/2sZBCjoT0OZS+ax9H0a0Tqo
mrido (mrido (DESKTOP-32-W) from directory C:\Users\mrido\Downloads\Compressed\TheWar\TheWar\TheWar.exe) from IP 182.2.135.57, computer ID RkEDIFGuDLRBSEmr+lDa33BVB/8
